,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
4984,5297921,20695,86LTFH24-NJ,,0.0,,0.0,0.01,1,EQ,NSE,NSE
4985,5298177,20696,718GJ30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4986,5298433,20697,589AP25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4987,5298689,20698,SCHAND,S CHAND AND COMPANY,0.0,,0.0,0.05,1,EQ,NSE,NSE
4988,5299201,20700,815LTFH24-NK,,0.0,,0.0,0.01,1,EQ,NSE,NSE
4989,5301505,20709,829LTFH24-NL,,0.0,,0.0,0.01,1,EQ,NSE,NSE
4990,5302529,20713,85LTFH26-NM,,0.0,,0.0,0.01,1,EQ,NSE,NSE
4991,5303041,20715,865LTFH26-NN,,0.0,,0.0,0.01,1,EQ,NSE,NSE
4992,5303809,20718,182D200624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4993,5304065,20719,364D191224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4994,5304833,20722,754AS28A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4995,5305345,20724,755GJ31-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4996,5307137,20731,763ML32-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4997,5307393,20732,762UP33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4998,5307649,20733,763GA33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4999,5307905,20734,763AR33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5000,5308161,20735,762UP34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5001,5308417,20736,544AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5002,5308673,20737,706AP30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5003,5308929,20738,765HP35-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5004,5309185,20739,762KL38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5005,5309441,20740,76KA38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5006,5309697,20741,763BR38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5007,5309953,20742,761HP38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5008,5310209,20743,763WB38-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5009,5310465,20744,764KA39-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5010,5310721,20745,758TS41-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5011,5310977,20746,771JK48-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5012,5311233,20747,815SHFL25-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5013,5311745,20749,878MFL27-NH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5014,5312257,20751,885MFL28-NI,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5015,5312769,20753,771HDFCB33-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5016,5315073,20762,921ISFL25-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5017,5315585,20764,RPPINFRA-BE,R.P.P INFRA PROJECTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5018,5316353,20767,960ISFL25-N1,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5019,5316865,20769,957ISFL26-N2,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5020,5317377,20771,10ISFL26-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5021,5317633,20772,715AP31-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5022,5317889,20773,715AP32-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5023,5318145,20774,705AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5024,5318401,20775,712HR40-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5025,5318657,20776,BHAGYANGR,BHAGYANAGAR INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
5026,5319169,20778,JAMNAAUTO,JAMNA AUTO IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
5027,5319425,20779,1003ISFL28-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5028,5320705,20784,1050ISFL28-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5029,5321217,20786,80409TCH27-NC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5030,5321729,20788,MOTISONS,MOTISONS JEWELLERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5031,5323265,20794,SUMEETINDS-BE,SUMEET IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
5032,5323777,20796,707JK30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5033,5324033,20797,708KA31-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5034,5329153,20817,IRBINVIT-IV,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5035,5330433,20822,SURAJEST,SURAJ ESTATE DEVELOPERS L,0.0,,0.0,0.05,1,EQ,NSE,NSE
5036,5331201,20825,HUDCO,HSG & URBAN DEV CORPN,0.0,,0.0,0.05,1,EQ,NSE,NSE
5037,5332481,20830,MOIL,MOIL,0.0,,0.0,0.05,1,EQ,NSE,NSE
5038,5332737,20831,MUTHOOTMF,MUTHOOT MICROFIN,0.0,,0.0,0.05,1,EQ,NSE,NSE
5039,5335297,20841,765NBFID38-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5040,5335809,20843,779SIDBI27-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5041,5336065,20844,72HP35-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5042,5336321,20845,716KA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5043,5336577,20846,717HP30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5044,5337089,20848,768IREDA33-N8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5045,5337345,20849,717HR30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5046,5337601,20850,722AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5047,5337857,20851,702AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5048,5338625,20854,HAPPYFORGE,HAPPY FORGINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5049,5339137,20856,ZEELEARN-BE,ZEE LEARN,0.0,,0.0,0.05,1,EQ,NSE,NSE
5050,5339649,20858,695HP34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5051,5339905,20859,695HP33-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5052,5340161,20860,696HR40-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5053,5340417,20861,699AR30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5054,5340673,20862,699GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5055,5340929,20863,702AP30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5056,5341185,20864,697KA28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5057,5343745,20874,RBZJEWEL,RBZ JEWELLERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5058,5344513,20877,PSPPROJECT,PSP PROJECTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5059,5344769,20878,MUFTI,CREDO BRANDS MARKETING L,0.0,,0.0,0.05,1,EQ,NSE,NSE
5060,5346817,20886,GANGOTRI-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
5061,5350145,20899,EFORCE-SM,ELECTRO FORCE (INDIA),0.0,,0.0,0.05,1200,EQ,NSE,NSE
5062,5351169,20903,813PNBH33-N0,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5063,5351681,20905,AZAD,AZAD ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE
5064,5352961,20910,A2ZINFRA-BE,A2Z INFRA ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE
5065,5353473,20912,697KA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5066,5353729,20913,672GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5067,5353985,20914,672AP28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5068,5354241,20915,722AS29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5069,5354497,20916,722GA29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5070,5354753,20917,724AS30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5071,5355009,20918,717KA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5072,5355265,20919,715AP36-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5073,5355521,20920,6AP25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5074,5355777,20921,654GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5075,5356033,20922,648AP27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5076,5356289,20923,654AP30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
